[2025-10-10T22:52:22Z] Starting watcher for PR #20 (domus-magna/chinaxiv-english branch=site-polish-implementation)
[2025-10-10T22:52:24Z] PR#20 updated: comments=11, reviews=2, inline=2; latestPR=2025-10-10T22:49:34Z, latestInline=2025-10-10T20:52:19Z; CI=completed/failure (feat(item): arXiv-style paper page, canonical/OG meta, /abs alias) @ 2025-10-10T22:49:46Z
[2025-10-10T22:56:44Z] Starting watcher for PR #20 (domus-magna/chinaxiv-english branch=site-polish-implementation)
[2025-10-10T23:02:30Z] PR#20 updated: comments=11, reviews=2, inline=2; latestPR=2025-10-10T22:49:34Z, latestInline=2025-10-10T20:52:19Z; CI=in_progress/n/a (feat(item): arXiv-style paper page, canonical/OG meta, /abs alias) @ 2025-10-10T23:02:24Z
[2025-10-14T07:08:28Z] PR#20 updated: comments=0, reviews=0, inline=2; latestPR=n/a, latestInline=2025-10-10T20:52:19Z; CI=completed/failure (test: add minimal workflow_dispatch test) @ 2025-10-11T01:33:56Z
[2025-10-14T07:08:28Z] PR#20 updated: comments=0, reviews=0, inline=2; latestPR=n/a, latestInline=2025-10-10T20:52:19Z; CI=completed/failure (test: add minimal workflow_dispatch test) @ 2025-10-11T01:33:56Z
[2025-10-14T11:33:43Z] PR#20 updated: comments=11, reviews=2, inline=2; latestPR=2025-10-10T22:49:34Z, latestInline=2025-10-10T20:52:19Z; CI=completed/failure (test: add minimal workflow_dispatch test) @ 2025-10-11T01:33:56Z
[2025-10-14T11:33:43Z] PR#20 updated: comments=11, reviews=2, inline=2; latestPR=2025-10-10T22:49:34Z, latestInline=2025-10-10T20:52:19Z; CI=completed/failure (test: add minimal workflow_dispatch test) @ 2025-10-11T01:33:56Z
[2025-10-15T02:43:55Z] PR#20 updated: comments=0, reviews=0, inline=2; latestPR=n/a, latestInline=2025-10-10T20:52:19Z; CI=completed/failure (test: add minimal workflow_dispatch test) @ 2025-10-11T01:33:56Z
[2025-10-15T02:44:56Z] PR#20 updated: comments=11, reviews=2, inline=2; latestPR=2025-10-10T22:49:34Z, latestInline=2025-10-10T20:52:19Z; CI=completed/failure (test: add minimal workflow_dispatch test) @ 2025-10-11T01:33:56Z
[2025-10-15T15:40:22Z] PR#20 updated: comments=0, reviews=0, inline=2; latestPR=n/a, latestInline=2025-10-10T20:52:19Z; CI=n/a/n/a (n/a) @ n/a
[2025-10-15T15:42:18Z] PR#20 updated: comments=11, reviews=2, inline=2; latestPR=2025-10-10T22:49:34Z, latestInline=2025-10-10T20:52:19Z; CI=completed/failure (test: add minimal workflow_dispatch test) @ 2025-10-11T01:33:56Z
[2025-10-27T23:27:16Z] PR#20 updated: comments=0, reviews=0, inline=2; latestPR=n/a, latestInline=2025-10-10T20:52:19Z; CI=completed/failure (test: add minimal workflow_dispatch test) @ 2025-10-11T01:33:56Z
[2025-10-27T23:27:16Z] PR#20 updated: comments=11, reviews=2, inline=0; latestPR=2025-10-10T22:49:34Z, latestInline=n/a; CI=completed/failure (test: add minimal workflow_dispatch test) @ 2025-10-11T01:33:56Z
[2025-10-27T23:29:18Z] PR#20 updated: comments=11, reviews=2, inline=2; latestPR=2025-10-10T22:49:34Z, latestInline=2025-10-10T20:52:19Z; CI=completed/failure (test: add minimal workflow_dispatch test) @ 2025-10-11T01:33:56Z
[2025-10-27T23:29:18Z] PR#20 updated: comments=11, reviews=2, inline=2; latestPR=2025-10-10T22:49:34Z, latestInline=2025-10-10T20:52:19Z; CI=completed/failure (test: add minimal workflow_dispatch test) @ 2025-10-11T01:33:56Z
[2025-10-29T09:27:17Z] PR#20 updated: comments=0, reviews=0, inline=0; latestPR=n/a, latestInline=n/a; CI=n/a/n/a (n/a) @ n/a
[2025-10-29T09:27:17Z] PR#20 updated: comments=0, reviews=0, inline=0; latestPR=n/a, latestInline=n/a; CI=n/a/n/a (n/a) @ n/a
